subject,predicate,object
C0009402,ASSOCIATED_WITH,C1418729
C0025552,ISA,C0035973
C3714634,AFFECTS,C2611772
C0877373,TREATS,C0280455
C0475358,LOCATION_OF(SPEC),C0010606
C0039194,LOCATION_OF,C1421406
C4544822,AFFECTS,C1707257
C1307407,INHIBITS,C1420194
C0032787,NEG_PREVENTS,C0524865
C0206623,ISA,C0001418
C0006826,PROCESS_OF,C2699414
C0086661,ASSOCIATED_WITH,C0009402
C0741614,TREATS,C0029925
C1706832,TREATS(INFER),C3850079
C2939419,LOCATION_OF,C0229807
C0069717,AUGMENTS,C0018270
C0020963,AFFECTS,C0033036
C2939419,DISRUPTS,C0995188
C0027651,PREDISPOSES,C3809991
C0015576,AFFECTS,C0012634
C0530129,NEG_LOCATION_OF,C0026809
C1001866,AFFECTS,C0009402
C0142831,AFFECTS,C0242379
C0017952,AFFECTS,C0010590
C0677930,TREATS(INFER),C0024203
C0332219,PROCESS_OF,C0030705
C0542559,PROCESS_OF,C0599755
C0013081,COEXISTS_WITH,C0024117
C0009402,PART_OF,C1567665
C0043210,TREATS,C0184661
C0184661,TREATS,C0032584
C0013227,AFFECTS,C0400966
C0965245,AFFECTS,C0026237
C4085873,PREDISPOSES,C0009402
C0027361,PROCESS_OF,C0730328
C1261287,DIAGNOSES,C0994163
C0026809,TREATS,C0032042
C0597134,ASSOCIATED_WITH(SPEC),C0007102
C1422084,STIMULATES,C1450093
C0009402,COEXISTS_WITH,C0267566
C2239176,NEG_COEXISTS_WITH,C0023418
C0205697,LOCATION_OF,C0024109
C0001418,TREATS,C0243077
C0007600,LOCATION_OF,C0005437
C0346429,TREATS,C0728940
C0193062,PRECEDES,C0185023
C0034896,LOCATION_OF,C0877373
C0007621,DISRUPTS,C1539297
C0279637,TREATS,C1512814
C4330475,LOCATION_OF,C0205091
C0001811,AFFECTS,C0007097
C0024299,TREATS,C0013216
C0042666,PART_OF,C1258005
C0008312,COEXISTS_WITH,C0004364
C0011135,DISRUPTS,C0077072
C0684030,PROCESS_OF,C0332448
C0005558,DIAGNOSES,C0206674
C0030705,PART_OF,C1257975
C0585464,TREATS,C0494165
C0948380,TREATS,C1515119
C0017473,PART_OF,C0879393
C0005560,DIAGNOSES,C0278678
C1428808,AFFECTS,C1510470
C1517925,TREATS,C0178874
C0027651,LOCATION_OF,C3271738
C0061202,LOCATION_OF,C0026724
C0027651,PART_OF,C1824513
C0009402,ASSOCIATED_WITH,C1418761
C1335377,NEG_LOCATION_OF,C0030274
C0030705,PROCESS_OF,C1320408
C0026809,ADMINISTERED_TO,C0004793
C0001418,ASSOCIATED_WITH,C0017337
C0030274,LOCATION_OF,C2239669
C4049944,USES,C0812425
C0040300,LOCATION_OF,C1825500
C0009402,DISRUPTS,C0007935
C0038454,CAUSES,C0011065
C1515089,COEXISTS_WITH,C0400447
C0037659,PRODUCES,C0027651
C0018270,ISA,C0596290
C0006826,AFFECTS,C0025202
C0432487,TREATS,C0814435
C0057455,USES,C1285573
C1820119,CAUSES,C1424222
C0004611,PRODUCES,C0066511
C0005847,LOCATION_OF,C0036679
C0041260,ASSOCIATED_WITH,C0009402
C0006142,AFFECTS(SPEC),C0027627
C1273428,TREATS(INFER),C0149978
C1367307,AUGMENTS,C0178874
C0010834,LOCATION_OF,C1420369
C2985398,AFFECTS,C1154599
C0040300,LOCATION_OF,C1825534
C0007102,CAUSES,C1527249
C0003232,COEXISTS_WITH(SPEC),C0003402
C0028908,COEXISTS_WITH,C0036847
C0009402,ASSOCIATED_WITH,C0007292
C0677984,PROCESS_OF,C0030705
C1332243,NEG_PROCESS_OF,C0683971
C0596263,LOCATION_OF,C0521367
C0041582,CAUSES,C0426576
C0069515,INTERACTS_WITH,C1420828
C1150540,MEASURES,C2603343
C0021390,TREATS(INFER),C0036733
C1302401,COEXISTS_WITH,C0012634
C0015733,LOCATION_OF,C0870883
C0021843,COEXISTS_WITH,C0699889
C1416771,COEXISTS_WITH,C0013089
C0334227,LOCATION_OF,C0001047
C0017473,PART_OF,C0879389
C0031831,ADMINISTERED_TO,C0087111
C1292533,PART_OF,C0948380
C0026809,LOCATION_OF,C0040982
C0920269,COEXISTS_WITH(SPEC),C0007102
C2610186,AUGMENTS,C0035696
C0039082,ASSOCIATED_WITH,C0041004
C0677949,TREATS(INFER),C0085533
C0178874,AFFECTS,C0007620
C1300632,AFFECTS,C2744535
C0009410,AFFECTS,C0021843
C0030705,PROCESS_OF,C1319441
C0039286,LOCATION_OF,C0040300
C0927195,LOCATION_OF,C0019113
C0022104,PROCESS_OF,C0034693
C0007600,LOCATION_OF,C1414333
C0007578,STIMULATES,C0023810
C1364113,PART_OF,C1099354
C0009402,PROCESS_OF,C0684312
C0016030,INTERACTS_WITH,C0431085
C0007102,AFFECTS,C0006020
C0017337,ASSOCIATED_WITH,C0567439
C0019113,PART_OF,C0927195
C1424999,INTERACTS_WITH,C0334227
C2986563,USES,C0001551
C0007102,ASSOCIATED_WITH,C1425781
C0599773,NEG_AFFECTS,C0013216
C0016059,CAUSES,C0079323
C1506592,ASSOCIATED_WITH,C0001418
C2118460,COEXISTS_WITH,C1155266
C0021851,LOCATION_OF,C0206693
C0021851,LOCATION_OF,C0206695
C0699790,COEXISTS_WITH,C0027651
C0027651,AFFECTS,C0004391
C0920269,COEXISTS_WITH,C0260037
C0028630,AUGMENTS,C0017262
C4266455,AFFECTS,C0003617
C0032615,COEXISTS_WITH,C0051405
C0027651,LOCATION_OF,C0028977
C0220908,TREATS,C3272281
C1302401,ASSOCIATED_WITH,C0016006
C0003402,INTERACTS_WITH,C3494205
C0220908,TREATS,C3272283
C0030705,TREATS,C3179010
C0009319,TREATS,C0242297
C0021853,LOCATION_OF,C0022116
C1512554,LOCATION_OF,C1332838
C0017181,DIAGNOSES,C3812881
C1335651,COEXISTS_WITH,C1332110
C0030705,TREATS,C3179017
C0004611,LOCATION_OF,C3203348
C0039082,LOCATION_OF,C0030797
C0229671,LOCATION_OF,C1516213
C0009404,ISA,C0007113
C0040649,DISRUPTS,C0534100
C0021851,LOCATION_OF,C0001418
C3658706,USES,C1708063
C4277543,LOCATION_OF,C0079419
C0030705,PART_OF,C0544769
C0007457,OCCURS_IN,C1319315
C1155873,CAUSES,C0217529
C0005516,PREDISPOSES,C0024117
C0030705,TREATS,C0192616
C0028259,COEXISTS_WITH,C0006826
C1510411,PREDISPOSES,C0087044
C2239176,TREATS(INFER),C0441519
C1512474,ISA,C0672708
C0214733,ASSOCIATED_WITH,C0021368
C0026882,LOCATION_OF,C0123538
C0927195,LOCATION_OF,C0019143
C0023884,LOCATION_OF,C0487852
C0015663,PROCESS_OF,C0030705
C0235974,ASSOCIATED_WITH,C1537570
C1335690,NEG_COEXISTS_WITH,C0149978
C0192865,PRECEDES,C0193171
C0150775,USES,C0085104
C0031021,PART_OF,C0040300
C0162836,COEXISTS_WITH,C0007137
C0024485,LOCATION_OF,C0033572
C1414202,AFFECTS,C1519697
C0333977,ISA,C0221198
C0013216,COMPARED_WITH,C0436307
C0009410,METHOD_OF,C0185033
C0021368,AFFECTS,C1513403
C2603343,LOCATION_OF,C0337954
C0518214,PROCESS_OF,C0027361
C0220908,TREATS,C0221198
C2239176,COEXISTS_WITH,C0948380
C0877373,TREATS,C0338240
C0162638,LOCATION_OF,C0038250
C0034603,USES,C0489479
C0003392,ISA,C0069717
C0009368,LOCATION_OF,C0423772
C0022688,INTERACTS_WITH,C0694891
C0030705,TREATS,C0192636
C0011581,PROCESS_OF,C0027361
C0445623,ASSOCIATED_WITH,C0400966
C0033684,AFFECTS(SPEC),C0006826
C0024623,DIAGNOSES,C0582175
C1300632,NEG_PROCESS_OF,C0030705
C0009402,OCCURS_IN,C0030705
C0012634,COEXISTS_WITH,C0009488
C0585464,TREATS,C3472375
C0030705,ADMINISTERED_TO,C0002772
C0728940,METHOD_OF,C1273428
C0036025,PART_OF,C1764827
C0016059,COEXISTS_WITH,C0237962
C0030705,ADMINISTERED_TO,C0002771
C0475358,LOCATION_OF,C1425224
C1519302,PART_OF,C0011702
C0475358,LOCATION_OF,C1425225
C0085533,TREATS(INFER),C0035078
C0030705,TREATS,C3179062
C1415157,AUGMENTS,C0596290
C0014876,LOCATION_OF,C0006826
C0009566,DIAGNOSES,C0022885
C1824709,LOCATION_OF,C0440744
C0035110,COMPARED_WITH,C0524724
C0030705,TREATS,C0192601
C0138741,MEASURES,C0199900
C0033572,LOCATION_OF,C1302401
C0164786,STIMULATES,C0247952
C2986563,PRECEDES,C3850079
C0001430,NEG_DIAGNOSES,C3812881
C0021044,METHOD_OF,C0184980
C0018270,AFFECTS,C0004391
C0007603,LOCATION_OF,C0021699
C0017178,ISA,C0012634
C0909825,LOCATION_OF,C0040300
C0003211,ISA,C0000970
C0030705,TREATS,C1456587
C0199176,ISA,C0042196
C0149925,ASSOCIATED_WITH,C1537502
C0065839,USES,C1148475
C1423817,AUGMENTS,C1622501
C0699889,LOCATION_OF,C0042993
C0006826,DIAGNOSES,C0034606
C1273428,HIGHER_THAN,C0029209
C0007095,LOCATION_OF,C0230250
C0011581,COEXISTS_WITH,C0022104
C0002763,INTERACTS_WITH,C0220806
C0030705,LOCATION_OF,C0019751
C0007587,CAUSES,C1566967
C0150312,PREDISPOSES,C0027651
C0199176,AFFECTS,C0007589
C0030705,PROCESS_OF,C1079230
C0021079,METHOD_OF,C0010408
C0282608,LOCATION_OF,C0040300
C0903677,INHIBITS,C1426772
C0006826,LOCATION_OF,C0227598
C0454271,COMPARED_WITH,C3896609
C1443775,ISA,C0879427
C0014939,PREVENTS,C0009402
C0310367,INTERACTS_WITH,C0909027
C0006826,AFFECTS,C1269955
C0009402,DISRUPTS,C1823178
C0540883,LOCATION_OF,C0949790
C0034693,PROCESS_OF,C0031327
C1520166,DIAGNOSES,C4522252
C1538589,STIMULATES,C0034835
C0040649,AFFECTS,C0133195
C0018270,AFFECTS,C1511573
C0011900,DIAGNOSES,C0235974
C0751429,TREATS(INFER),C0153567
C0012634,ISA,C1175175
C1336636,LOCATION_OF,C0040300
C1171362,LOCATION_OF,C0054541
C0009402,CAUSES,C2939419
C0039736,ASSOCIATED_WITH,C1457887
C3843213,PROCESS_OF,C0030705
C0301872,AFFECTS,C0021368
C1517940,AFFECTS,C0016360
C0278804,ISA,C0006826
C0162327,DISRUPTS,C0027651
C0007584,LOCATION_OF,C1179187
C0079419,LOCATION_OF,C1517454
C0024485,PRECEDES,C0010408
C0221198,TREATS,C0220908
C0024432,INTERACTS_WITH,C1420369
C0153676,LOCATION_OF,C0023884
C2939419,TREATS,C2697961
C0022457,INTERACTS_WITH(INFER),C0796392
C1421397,ASSOCIATED_WITH,C0009319
C0235031,TREATS,C0280617
C1413844,AFFECTS,C0007613
C0683525,TREATS,C0242488
C0940978,PROCESS_OF,C0030705
C2939419,ASSOCIATED_WITH,C1101610
C1415351,ASSOCIATED_WITH,C0009402
C0019868,AFFECTS,C0026682
C0006826,LOCATION_OF,C0600600
C0035648,DIAGNOSES,C2979983
C0001675,PROCESS_OF,C0581359
C0009319,TREATS,C3858690
C0600558,TREATS,C0012634
C0002940,LOCATION_OF,C0030288
C0073328,AFFECTS,C0599725
C0024485,MEASURES,C1441416
C1424999,STIMULATES,C1538132
C0006141,PART_OF,C0005680
C1122016,COEXISTS_WITH,C1423506
C0003250,ISA,C0728747
C0030705,NEG_AFFECTS,C4524827
C1420343,PART_OF,C0086418
C0013218,TREATS,C0679246
C1555767,DIAGNOSES,C0677984
C1302401,PROCESS_OF,C0043210
C0229671,LOCATION_OF,C1144173
C0023885,CAUSES,C1112211
C1826013,INHIBITS,C1414224
C0018724,PROCESS_OF,C0019655
C0345916,COEXISTS_WITH,C0743301
C0278803,AFFECTS,C0010346
C0965245,INTERACTS_WITH,C0312555
C0596263,MANIFESTATION_OF,C2939419
C0165519,COEXISTS_WITH,C0013227
C0221198,DIAGNOSES,C0034606
C0086582,TREATS,C0015252
C0596263,COEXISTS_WITH,C0028778
C0227386,LOCATION_OF,C0002871
C0002940,LOCATION_OF,C0030274
C0022354,CAUSES,C0334246
C0017687,ASSOCIATED_WITH,C1519680
C0032787,COEXISTS_WITH,C0278480
C0260037,PROCESS_OF,C0086418
C0039082,ASSOCIATED_WITH,C0006625
C0017952,DISRUPTS,C1514559
C1456447,CAUSES,C0028778
C0009402,PROCESS_OF,C3853043
C0253023,PROCESS_OF,C1749524
C0235328,PROCESS_OF,C0030705
C0009402,AFFECTS,C0227391
C0021044,USES,C1519522
C0065175,TREATS,C0028829
C0029925,TREATS(INFER),C0455052
C0011065,AFFECTS,C0085533
C0030705,NEG_TREATS,C0085533
C0030705,TREATS,C0011777
C0026809,PART_OF,C0016030
C1420645,ASSOCIATED_WITH,C0027627
C1425514,TREATS,C0030705
C0525678,INTERACTS_WITH,C0123931
C4317009,LOCATION_OF,C0021853
C0085584,CAUSES,C0016360
C0001430,DIAGNOSES,C0022885
C1426113,STIMULATES,C4050026
C0013931,TREATS,C0030705
C0123759,LOCATION_OF,C0229671
C0021760,LOCATION_OF,C0014597
C0015535,DIAGNOSES,C0025517
C0007134,TREATS,C0419095
C2939419,ISA,C0022790
C0919691,ASSOCIATED_WITH,C3887634
C0333875,PROCESS_OF,C0030705
C0002170,LOCATION_OF,C0230005
C0001418,TREATS,C0149750
C0699680,TREATS,C0242379
C0024623,NEG_COEXISTS_WITH,C0038356
C0003461,LOCATION_OF,C4304995
C0425946,PROCESS_OF,C1516231
C0383327,INHIBITS,C0021758
C0001418,LOCATION_OF,C0178825
C0009375,PROCESS_OF,C0596290
C0184980,NEG_DIAGNOSES,C2064225
C0007103,ISA,C0009566
C0006826,ASSOCIATED_WITH,C0242957
C0038941,PREVENTS,C0282638
C0021831,AFFECTS,C3843647
C4055433,USES,C0013216
C0678723,AFFECTS,C0995188
C0440744,PART_OF,C0006826
C1096653,CAUSES,C0156149
C0162638,COEXISTS_WITH,C0598312
C2985398,ASSOCIATED_WITH,C0023895
C0022457,ASSOCIATED_WITH,C0007102
C1522577,TREATS,C4505353
C0086282,USES,C0182158
C0969119,STIMULATES,C1519751
C0043251,PROCESS_OF,C0870602
C0009402,PREDISPOSES(SPEC),C1413514
C1412182,DISRUPTS,C0334094
C0948380,TREATS,C0023413
C1520113,AFFECTS,C0079904
C3495919,COEXISTS_WITH,C0346975
C0850639,LOCATION_OF,C0021851
C0220825,ISA,C0079611
C0205082,PREDISPOSES,C4055086
C1412268,CAUSES,C1444662
C1516334,MANIFESTATION_OF(SPEC),C2939419
C0007635,LOCATION_OF,C0162638
C0004763,COEXISTS_WITH,C1257806
C0061223,CAUSES,C0162638
C0506994,PART_OF,C0009368
C0007600,LOCATION_OF,C2933603
C1422787,CAUSES,C0007102
C0025598,TREATS,C0030705
C1423053,COMPARED_WITH,C1423053
C1412493,INHIBITS,C0057090
C0277565,PROCESS_OF,C0030705
C0006826,COEXISTS_WITH(SPEC),C0029925
C0229671,PART_OF,C0599755
C0027651,LOCATION_OF,C0205054
C0441519,COMPARED_WITH,C0850292
C0009402,CAUSES(SPEC),C1537719
C1520166,PROCESS_OF,C0004391
C0030705,PROCESS_OF,C0751075
C0086287,TREATS,C0030788
C2603343,LOCATION_OF,C0000872
C0948380,TREATS,C2363923
C0027627,PREDISPOSES,C0332149
C0079380,CAUSES,C4318450
C0812241,AFFECTS,C0027651
C0069515,USES,C1510438
C0030274,LOCATION_OF,C1333190
C0027361,PROCESS_OF,C0019080
C0015967,ASSOCIATED_WITH,C2115941
C0598934,PREVENTS,C0016360
C0006826,COEXISTS_WITH,C3273990
C0026948,ISA,C0079773
C0007586,COEXISTS_WITH,C1622911
C1622501,DISRUPTS,C3471303
C0001418,COEXISTS_WITH,C0677930
C1519315,INTERACTS_WITH,C1099354
C0012854,ASSOCIATED_WITH,C0027651
C0012634,AFFECTS,C0341703
C0150775,AFFECTS,C0332448
C0001430,COEXISTS_WITH,C0012242
C0543467,TREATS(INFER),C0948380
C0030705,LOCATION_OF,C0078058
C0043210,PART_OF,C1418735
C0017337,LOCATION_OF,C0030705
C3850136,TREATS,C0006826
C0037088,ISA,C0920269
C0812445,AFFECTS,C0009402
C0333574,AFFECTS,C3887682
C0004519,CAUSES,C0009319
C0525678,COEXISTS_WITH,C0040616
C1825598,AFFECTS,C0027653
C0027361,TREATS,C0521210
C0018787,PART_OF,C0682578
C0281361,ASSOCIATED_WITH,C1417032
C1825598,AFFECTS,C0027651
C0015689,COEXISTS_WITH,C0016157
C0235974,TREATS(INFER),C1880658
C0015252,USES,C0300824
C1427665,DISRUPTS,C2919733
C0333288,CAUSES,C2744535
C0031715,STIMULATES,C1335191
C0686619,ASSOCIATED_WITH,C1539100
C0439631,PRECEDES,C0192865
C1567665,INTERACTS_WITH,C1101610
C0007621,AFFECTS,C0012238
C1449699,LOCATION_OF,C0040300
C0870602,AFFECTS,C0302600
C0030705,LOCATION_OF,C0103404
C0302583,AUGMENTS(SPEC),C4236737
C0009378,USES,C0031809
C1868801,PRECEDES,C1883256
C0015691,COEXISTS_WITH,C0023810
C0007102,COEXISTS_WITH,C2239176
C0021368,TREATS(INFER),C0751429
C1883364,TREATS,C0747742
C3846514,LOCATION_OF,C1284419
C0332461,ISA,C0221198
C0030705,TREATS,C2721771
C0225730,LOCATION_OF,C0046056
C0948380,TREATS,C2926735
C0242656,CAUSES,C0011065
C4528750,TREATS(INFER),C0079083
C0023822,PREDISPOSES,C0006142
C0521210,TREATS,C0009566
C0919938,PREVENTS,C0399643
C0007090,STIMULATES,C2350345
C0009324,TREATS,C0021083
C0071097,INHIBITS,C0965245
C0043240,COEXISTS_WITH,C0031843
C0920420,PROCESS_OF,C0043210
C2985398,AFFECTS,C0178874
C0009566,CAUSES,C0302912
C0277565,TREATS,C0001551
C0027361,TREATS,C0016278
C0332448,COEXISTS_WITH,C0235974
C0919691,AFFECTS,C0009402
C0334048,DIAGNOSES,C0011900
C0020541,LOCATION_OF,C0042449
C0016030,NEG_LOCATION_OF,C0769345
C0027950,INTERACTS_WITH,C2350467
C0460048,PROCESS_OF,C0043210
C4321237,PROCESS_OF,C0680022
C0280100,AFFECTS,C0699790
C0001675,PROCESS_OF,C0243144
C0040300,AUGMENTS,C0079633
C0153439,TREATS,C0024203
C0013216,PRECEDES,C0749736
C0013227,NEG_TREATS,C0599755
C0012634,TREATS,C0003360
C0010357,AFFECTS,C0025598
C1306459,PROCESS_OF(SPEC),C0027361
C0677850,PRECEDES,C2987682
C0948380,PRECEDES,C1306459
C0020205,LOCATION_OF,C1328819
C0007102,PREDISPOSES,C0919765
C0149521,PROCESS_OF,C0030705
C2608114,PRECEDES,C0741614
C0006826,TREATS,C0520484
C0007367,LOCATION_OF,C0021852
C1823178,AUGMENTS,C0009402
C0150312,COEXISTS_WITH,C0341703
C0038356,TREATS,C0015252
C3858690,TREATS,C0009319
C0011847,COEXISTS_WITH,C0006826
C0302583,PREDISPOSES,C0007621
C0543478,ASSOCIATED_WITH,C0118522
C0679838,AFFECTS,C0008311
C1999167,PROCESS_OF(SPEC),C1527249
C0334227,INTERACTS_WITH,C0014442
C0041582,DIAGNOSES,C0017195
C0079633,AFFECTS,C0858952
C0016832,INTERACTS_WITH,C1956108
C0040300,LOCATION_OF,C0007578
C0220825,COEXISTS_WITH,C0281190
C0751429,COMPARED_WITH,C0184661
C0039082,TREATS,C0193062
C0009404,TREATS,C3850136
C4055105,INTERACTS_WITH(SPEC),C0034802
C0677930,ISA,C0001418
C0005558,LOCATION_OF,C0475358
C0043210,PROCESS_OF,C0237326
C0949466,MEASURES,C0033684
C0021966,AFFECTS,C0030660
C1366524,COEXISTS_WITH,C0312443
C1519315,AFFECTS,C1523298
C0024623,TREATS,C1367202
C0033572,AFFECTS,C0220630
C1521751,PROCESS_OF,C0007102
C2004459,TREATS,C0242339
C1260873,TREATS(INFER),C3889687
C0014243,TREATS,C0032580
C0000731,LOCATION_OF,C0000726
C0027627,NEG_PROCESS_OF,C0030705
C0025266,PROCESS_OF,C0009240
C0005863,METHOD_OF,C0026022
C0005558,LOCATION_OF,C0019994
C0260037,CAUSES,C0006118
C0279068,PROCESS_OF,C1516213
