C0445117;Neoplasm present
C0206732;Immunohistochemistry
C0205400;abdomen scan
C0036098;Adenoid Cystic Carcinoma
C0387583;Endoplasmic Reticulum Stress
C0505385;Macrophage Activation Syndrome
C0529351;darifenacin
C0206733;Strawberry nevus of skin
C0940617;Woman
C0399565;fdg pet
C1518424;Ethnic group
C0074414;sevoflurane
C0457138;Lesion
C1519751;Post-Translational Protein Processing
C3809991;Genes
C0446498;Abdominal mass
C0446497;Discharge body substance
C0036087;MSH6 gene
C0206725;bevacizumab
C0206724;Sex Cord-Stromal Tumor
C0446495;Macrophage Activation Syndrome
C1519748;Ubiquitin-Proteasomal Pathway
C0206727;Neurilemmoma
C0206728;Rectum
C0903677;GEN1 gene
C0529334;Keratin-19
C0036078;Adverse reactions
C0206754;Peritonitis
C0854119;Ultrasonography
C0206755;Mass Spectrometry
C0086418;GPR35 protein human
C0529338;Neoplastic Cell Transformation
C0446461;lymph nodes
C0206750;Patients
C4280018;Sessile Serrated Adenoma/Polyp
C4509816;Neoplasms
C1423592;Catabolism
C1423599;Patients
C2699119;Complication
C2111525;Patients
C1423594;Colorectal Cancer
C1518440;Endothelial Cells
C0206743;Child
C0940607;Ileocolic intussusception
C0206745;Mice Knockout
C0061126;Malignant Neoplasms
C0520990;Host defense
C0086409;Ethnic group
C1422277;Body tissue
C0024091;Neoplasms
C4255069;Neoplastic Cell Transformation
C0458452;Carcinoma Signet Ring Cell
C0771377;Transplantation Autologous
C0458450;Prostatic Urethra
C0085101;Immunotherapy
C0388911;Vascular Endothelial Growth Factor C
C0085104;research center
C0338656;Trinitrobenzenesulfonic Acid
C1412886;HCT116 Cells
C0074455;Agent
C0301363;Assay
C0000097;Parkinson Disease
C3544385;TNF-related apoptosis-inducing ligand
C3544383;cell cycle phase transition
C0796679;Irinotecan-Eluting Beads
C0036043;Process
C1423546;Adenocarcinoma
C0012091;Intercellular adhesion molecule 1
C1412893;Cultured Cell Line
C2711393;Patients
C0024075;Laboratory Procedures
C1159668;iron transport
C0074445;shellac
C0074447;Lectin
C1653876;Sergio
C1422212;Adenocarcinoma
C1424876;EXOSC1 gene
C1423541;Malignant Neoplasms
C0012066;Protoplasm
C2699153;LINC00460 gene
C0036037;Plexus
C0037369;Cancer Survivors
C0504075;Present
C0013395;Pancreatic duct
C1423559;Colorectal Carcinoma
C0037366;H19 gene
C0504074;Anus
C0013390;Woman
C1158366;Helper-Inducer T-Lymphocyte
C0024045;Low-Income Population
C1424887;NEGR1 gene
C1424881;Neoplasms
C0085110;Severe Combined Immunodeficiency
C0807878;premalignant lesion
C0085112;SCID Mice
C0085113;CD69 protein human
C0085114;High Density Lipoprotein Cholesterol
C0314657;Genetic Predisposition to Disease
C0085115;CD4/CD8 ratio procedure
C0086447;Neuroendocrine carcinoma metastatic
C1422239;EZH2 protein human
C0036025;Mutation
C1171322;tissue homeostasis
C0542339;Clone Cells
C0074460;Zingiber officinale
C0265034;Patients
C0348000;Stenosis of rectum
C0049330;HCT116 Cells
C0073138;Growth
C0796693;Pelvis
C1422236;Tumor cells malignant
C0024050;Child
C0348002;Urinary Diversion
C2735310;Patients
C0280661;Clinical Trials
C0279671;Patients
C0085148;Gastrointestinal Hemorrhage
C0085149;Ulcer
C0279672;Brachytherapy
C1882857;Rat Small Intestine
C1412849;Neoplastic Cell Transformation
C0025353;World
C0026682;Glycoconjugates
C0026683;Mucocele
C0026684;Patients
C0001383;Transcription Genetic
C3820394;Malignant Neoplasms
C0278348;Antibodies
C0348015;Neoplasms
C1423506;Paraneoplastic Encephalomyelitis
C0040982;Tissue Adhesions
C0038661;general population
C1882848;Rat Sarcoma
C0279682;Patients
C0085136;Angiomatous Meningioma
C0036002;Liver Cirrhosis
C0399619;Adenoma
C1424835;Adenocarcinoma
C0327949;Salmo salar
C0279680;Voltage-Dependent Anion Channels
C1844596;Stiffness
C0040987;Patients
C0074480;sialosyl-Tn antigen
C1160609;extracellular matrix organization
C0001374;Acyl Coenzyme A
C0024031;Patients
C1412856;BVES gene
C0026691;Mucocutaneous Lymph Node Syndrome
C1268905;Patients
C0348024;Hypothyroidism
C1424849;Body tissue
C0085167;Ultrasound guided biopsy
C0039987;Secondary Neoplasm
C0556991;Fuel
C0039985;Coughing
C1325174;HCT116 Cells
C0314621;Hypermethylation
C0049308;5-Methylcytosine
C0337383;Local excision
C0027996;Niacin
C0110611;Stiffness
C0110613;Carcinogenesis
C1519810;Ovarian Carcinoma
C0026661;RNA Recognition Motif
C0314627;Stem cells
C0086492;J-Pouch
C0085162;Jaundice Obstructive
C0014695;Stage III Colon Cancer
C0085155;oxaliplatin
C1423524;Patients
C0278372;Functional assessment
C0542378;Patients
C0073177;AKT Signaling Pathway
C1424852;Carcinogenesis
C0037317;Symptoms
C0037316;Sleep Deprivation
C0001390;Colorectal Carcinoma
C0123931;Cholangiocarcinoma
C0013369;Anti-Bacterial Agents
C0013331;Dutch Population
C0085187;telomere
C0085188;Secondary Neoplasm
C0012002;Ovarian Carcinoma
C0040952;Pharmaceutical Preparations
C0278302;Patients
C0339901;Acute respiratory infections
C0037303;Osteoporosis circumscripta
C0014661;Patients
C0037301;Extravasation
C0026649;Actins
C0040958;huperzine B
C0242350;Implants
C0001347;Acute-Phase Proteins
C0242354;Malignant tumor of colon
C0242358;Cells
C1412804;Cohort
C0279639;Nodule
C0278307;Anorectal Diseases
C0038636;AKR1A1 wt Allele
C1709246;SATB2 gene
C0085183;Persons
C0279637;Malignant neoplasm of anus
C0085185;Isolation procedure
C0748877;Support System
C0280630;Turcot syndrome (disorder)
C0085177;Eukaryotic Cells
C0013343;Chromoendoscopy
C0496675;Evaluation
C0001339;formononetin
C0723595;Male population group
C0241028;Male population group
C0073194;Acids
C0040942;Colorectal Neoplasms
C0003999;Malignant neoplasm of stomach
C0003997;Severe (severity modifier)
C0026652;Cancer-related fatigue
C0025320;Woman
C0003995;Antileukemic Agent
C0026654;Vascular Diseases
C0003993;Tumor cells malignant
C1412812;Carcinogenesis
C0242349;Proliferating Cell Nuclear Antigen
C0085174;Misoprostol
C0039959;Thiouridine
C1281905;Obesity
C0281974;Neoplasms
C0279652;Inflammation
C0664702;Membrane
C0963236;Tumor cells malignant
C3892027;Cultured Cell Line
C0748864;Appendix
C0279654;Male population group
C1710263;Swedish
C0279651;Anabolism
C1337111;Hemorrhage
C0748861;Complete atrioventricular block
C0027950;TAE226
C0001363;Carcinoma Transitional Cell
C0002690;cancer recurrence
C0242339;Mice Obese
C1412821;Drug resistance
C0039947;FOXM1 gene
C3894683;ALOX12 wt Allele
C0038615;Pharmaceutical Preparations
C0278329;Infantile Neuroaxonal Dystrophy
C0014644;Patients
C0940598;Pedunculated colonic polyp
C0085198;Reconstructive Surgical Procedures
C0279663;Nicotinamide N-Methyltransferase
C0015982;Fibrin
C1337105;HPR gene
C0014653;Cohort
C0026639;Carcinoma
C0267613;Disorder of appendix
C0267614;Chronic appendicitis
C0026636;Inflammatory disease of mucous membrane
C0002688;Chemoradiotherapy
C1293946;aminosalicylic acid
C0244989;Protein-Serine-Threonine Kinases
C0002680;HT29 Cells
C3641653;Health care facility
C1424810;Malignant Neoplasms
C0217396;Patients
C1337108;MAP3K8 gene
C0015950;Colorectal Carcinoma
C0242390;Gastroenteritis
C0242391;LGALS9 protein human
C4545644;Secondary Neoplasm
C0026605;Patients
C0242392;Gallic acid
C0003968;colon growth
C4545645;Neoplasm Metastasis
C0001304;Perianal
C0003964;Cell-Free DNA
C0003962;Long Term Survivorship
C0039925;Thiopental
C1700874;Metastatic Renal Cell Cancer
C0014628;soluble
C0194261;Pharmacotherapy
C1171347;Carcinoma of anal margin
C0013301;Multiple ulcers
C1171346;Candidate Disease Gene
C1327760;Cell Count
C0242382;Patients
C0963281;Apoptosis
C0027944;Chronic disease
C0242387;Polyp of large intestine
C0040900;Dysplasia
C0242388;Multiple symptoms
C0734203;Bacteria
C3472245;angiogram
C0376900;Colorectal Carcinoma
C0279606;Middle Aged
C1254351;ulvan
C0015965;Sacrococcygeal teratoma
C0013303;Single lesion
C0015967;Human cells
C1709218;tumor growth
C0253023;Toxic effect
C0230388;Medical Devices
C0577059;Patients
C0280604;Patients
C0241039;Woman
C0577053;X-Ray Computed Tomography
C0003988;Asian Americans
C0242379;Community
C1554184;Dual
C0267663;Patients
C0014609;Spectrum Analysis
C0015936;Seizures
C0170270;amphiphysin
C0015934;Colitis
C0255672;Homo sapiens
C1255664;Diagnostic radiologic examination
C0280617;Neurologic Symptoms
C1171362;mitochondria-nucleus signaling pathway
C1302461;Patients
C0242363;Von Hippel-Lindau Syndrome
C0001314;Interventional procedure
C4519167;Overall Response
C0279628;Barrett Esophagus
C0279626;Esophageal Neoplasms
C0015944;Cohort
C0193011;Anorectal manometry
C1519680;Lactobacillus rhamnosus GG
C0687568;Stenosis
C0374190;Operation on rectum
C0193014;Patients
C0228207;Metastatic malignant neoplasm to brain
C0879393;Sebaceous Adenocarcinoma
C0193017;Incision of rectum
C0699540;melanoma
C1519678;Tumor Expansion
C0015914;Fertilization
C1518345;tomography
C1518340;No Evidence of Disease
C1519670;CD276 gene
C0003918;research center
C0027908;CNS - Brain (MMHCC)
C0205558;False Negative
C1280660;Nodular lesions
C0473935;Accumulation
C0027902;Neuropsychological Tests
C1519665;Tumor-Associated Process
C1519666;Solid Neoplasm
C0255813;soluble
C1521980;ERICD gene
C0448967;ileum
C0280803;Reactive Oxygen Species
C1326500;Leukocyte Trafficking
C0399468;Oral sinus
C1001184;sphingosine 1-phosphate
C1819716;Genome Mitochondrial
C1519697;Mice Nude
C1517033;Secondary malignant neoplasm of bone
C1519692;TNF-related apoptosis-inducing ligand
C0939537;imatinib
C4305988;IGF2BP3 wt Allele
C0229526;Neuroendocrine Tumors
C0915585;Epidermal Growth Factor Receptor
C3282903;treatment options
C0879389;general population
C0879391;Lower Extremity
C0879390;Mismatch Repair
C1519687;Tumor Oxygenation
C0940520;Rectum
C4330937;Colonic polypectomy
C0447612;Thickened
C4507372;metastatic colorectal cancer
C0168014;mitogen-activated protein kinase p38
C0267841;Woman
C0184980;Colorectal Low Grade Intraepithelial Neoplasia
C0051816;Alkaloids
C1293950;Colorectal Carcinoma
C1517052;Secondary Neoplasm
C0267831;Neoplasm Metastasis
C0267830;Liver Abscess
C0051821;Diarrhea
C2939419;Mice Nude
C0184979;Intestinal Obstruction
C0422322;colonoscopy
C3486709;Neoplastic Cell Transformation
C0051844;Chronic colitis
C0472699;Patients
C0062505;Chondroitin Sulfates
C0062503;Heparitin Sulfate
C0158644;Congenital anomaly of lung
C1843463;Patients
C0099808;7-ethyl-10-hydroxycamptothecin
C1506307;Pharmaceutical Preparations
C0184918;Colorectal Cancer pT1 TNM Finding v6 and v7
C3665675;Acclimatization
C0445054;Patients
C0062529;Neoplastic Cell Transformation
C1519614;Cancer Research Group
C0184921;Inguinal lymph node group
C0184922;Cyst
C0184924;Dermatologist
C0061202;KCNK9 gene
C0184908;Slow transit constipation
C0062534;cytokine
C0061200;colon growth
C0337196;Organ
C1519606;Transgenic Model
C0184913;Extraction
C1446338;Patients
C0184904;Adenoma
C1519630;Symptoms
C1423699;Tumor tissue sample
C0796520;ETV6 gene
C0422389;Patients
C3266069;Patients
C0037299;Pyoderma Gangrenosum
C0061223;Asthma
C4283853;C4A wt Allele
C3254086;CYP19A1 protein human
C0037293;Skin tag
C1519628;Molecular Transport
C0075857;Mus
C0940500;Cell Count
C0457021;Urinary Incontinence
C0459683;Abdominal stoma
C0074529;Immune response
C0037285;Skin Manifestations
C1148916;nucleotide binding
C0037286;Patients
C4283882;Mutation
C0085203;Metastatic malignant neoplasm to brain
C0217529;Cell Proliferation
C0817096;Sebaceous Adenocarcinoma
C0037284;ruxolitinib
C1422382;TP53 gene
C0217525;Non-alcoholic Fatty Liver Disease
C2037144;Patients
C1999091;Cardiac Status
C0037274;Pyoderma Gangrenosum
C1148926;adenosinetriphosphatase activity
C0037278;Communicable Diseases
C0447687;Infiltration
C1148923;CD274 protein human
C3810883;Neoplastic Cell Transformation
C0086528;Ethnic group
C1422390;Mutation
C0870935;Ulcerative Colitis
C0217511;Lysis
C1422393;Negative Regulation of G2 Phase
C1446340;removal technique
C1446348;Postoperative stricture
C0013298;Lamina Propria
C0062585;Rattus norvegicus
C0085221;Right inguinal region
C0085222;Inguinal part of abdomen
C0554478;Patients
C0013294;Neoplasm of ampulla of Vater
C0013295;Duodenal Ulcer
C2975148;Animal Model
C0085228;Tumor tissue sample
C0013291;Stomach
C0013292;Duodenal Obstruction
C0013293;Pancreatic Neoplasm
C0073240;DICER1 protein human
C1880359;Opioids
C0025274;Menarche
C3641722;VIPR2 gene
C2987127;Malignant Neoplasms
C2963158;Patients
C2987128;Neoplasms
C0796563;geriatric patients
C0049241;5-hydroxymethylcytosine
C3544265;Patients
C0025270;SIAH2 gene
C2987120;Oncogenes
C3544266;occult malignancy
C0038585;Substance P
C0577100;Patients
C0086543;Cataract
C1422336;neoplasm regression
C1424999;Rectosigmoid Carcinoma
C1122259;Gene Silencing
C0085216;Mus
C1098186;ferroptosis
C0819757;Oncogenes
C0025286;Angiomatous Meningioma
C0301258;UBXN2A gene
C0542476;Patients
C0302583;Protoplasm
C0074565;Singlet Oxygen
C0025289;Patients
C1879358;Primary malignant neoplasm of endometrium
C1171217;Cohort
C0061275;colon growth
C0085243;Mice Inbred NOD
C0086574;TNFRSF25 gene
C0529494;Proto-Oncogene Proteins c-akt
C0038577;Organoids
C0085249;Chronic Obstructive Airway Disease
C0025252;Extracellular
C0025251;Tumor cells malignant
C0025255;Neuropilin-2
C3544285;Toxic effect
C0339897;Liver and Intrahepatic Biliary Tract Carcinoma
C0577123;Abdominal skin scar
C0038563;CD69 protein human
C0013289;Woman
C0037231;Imbalance
C0086565;Patients
C0963182;Tankyrase
C0025268;Hirschsprung Disease
C0025267;Gastrinoma
C0025266;ECE1 gene
C0025260;Mus
C1446301;Liver neoplasms
C0280785;Diffuse Astrocytoma
C0037221;Congenital Abnormality
C0086597;Mediate
C0014582;Cell Death
C2711227;gene therapy
C1424945;Squamous cell carcinoma of esophagus
C3146221;Juvenile
C0027895;vasoactive intestinal peptide
C0073287;LAMP3 Gene
C0001261;Opportunistic Infections
C0025234;fluvastatin
C0027893;Pancreatic Polypeptide
C0001263;Patients
C1879327;shogaol
C0014597;Peptidoglycan
C0040861;Genetic Counseling
C0085255;Left colon
C0014599;Epithelial hyperplasia
C1700929;Carcinoid tumor of rectum
C1700928;Carcinoid tumor of rectum
C0037215;Wnt Signaling Pathway
C0278474;IMPACT gene
C1880301;Malignant Neoplasms
C0014591;Symptoms
C0025248;Membrane Glycoproteins
C0745041;Patients
C3496194;PRSS8 protein human
C0001250;Chronic infectious disease
C2987172;Prolow-Density Lipoprotein Receptor-Related Protein 1
C0278479;removal technique
C3484182;Photochemotherapy
C0086582;contextual factors
C0015895;Fertility
C0014563;Muscle Cells
C1424969;ABT 263
C0278488;Small bowel obstruction
C0013230;Transformation function
C0278485;Patients
C0278484;Mus
C1412984;apatinib
C0278480;DNA
C0303848;Allium sativum
C0026549;Microbiome
C0025219;wogonin
C0001288;Paroxysmal nocturnal dyspnea
C0025213;Cytoplasm
C1879344;Biliary papillomatosis
C0039869;Patients
C0278498;Supportive care
C0278499;Chemoradiotherapy
C0085279;Patients
C1424977;Signal Transduction
C1424976;Neoplasms
C0278493;Patients
C4087082;Mus
C1325288;cell cycle regulator
C0026559;Morphogenesis
C0040845;apoptosis signaling
C1159527;glucose uptake
C0073299;Ubiquitin
C1882982;Gastroenterologist
C1412999;Carcinogens
C0001271;Fusiform cell
C0027882;Calcitonin Gene-Related Peptide
C0025222;Non-Small Cell Lung Carcinoma
C0027883;Peripheral
C1424972;CYSLTR1 gene
C0038527;Hernia
C1423644;Malignant neoplasm of lung
C0107103;Growth Factor
C0085272;Alzheimer's Disease
C0039840;Leukoencephalopathies
C0400966;End Stage Liver Disease
C0242473;Anus Prolapse
C0027858;Patients
C1530072;Antidepressive Agents
C0027853;Paresis
C1412925;Epithelial Cells
C0039848;Colon structure (body structure)
C0013218;advanced disease
C0013216;Paralysed
C0015879;Body tissue
C1517092;aggressive cancer
C1412930;Germ Line
C0266427;Neoplastic Cell Transformation
C0040822;Tremor
C0025209;Detection
C0003873;Immune System Diseases
C0267750;Patients
C0025202;Large Cell Lung Neuroendocrine Carcinoma
C0025201;Histones
C3472164;Patients
C0085292;Pruritus
C0325285;Damaliscus lunatus
C0085295;TYROBP gene
C0013227;STIL wt Allele
C0014559;Colorectal Carcinoma
C0193083;Renal mass
C0014520;Perianal Paget's disease
C1424925;Iodides
C0229473;Mixed carcinoma
C0015852;Glycolysis
C2183253;Diagnostic radiologic examination
C1708063;Did not receive therapy or drug for
C1412940;Antibodies Anti-Idiotypic
C0001246;Intestines
C1424929;Genes
C0027836;Site
C0027830;Benign Neoplasm
C0027831;Gastrinoma
C0027832;Neurilemmoma
C0040808;pemetrexed
C0002570;CEL gene
C3895894;epithelial cell apoptotic process
C3845593;Major change
C0040809;Patients
C0193072;Anorectal adenocarcinoma
C0747646;Patients
C0193064;Partial proctectomy
C0014533;Adipose tissue sample
C0194396;Patients
C1424933;LRIG1 gene
C0746319;Patient observation
C0001239;Dynamics
C0027849;Rattus norvegicus
C0267732;Hiatal hernia with obstruction but no gangrene
C0242444;Population at Risk
C0001231;Cushing Syndrome
C1412958;polyp benign
C0002563;Combined Modality Therapy
C0181089;Catheter guide wire device
C1424930;Genes
C0013203;Persons
C0193062;polyp benign
C0193063;Woman
C0253166;Mammals
C0027819;Brain Neoplasms
C0637261;Uptake
C0003847;Structure of arteriole
C0003842;Injury of liver
C3641766;Patients
C3257924;Extraction
C0193050;Patients
C0578477;Patients
C0014511;Neoplasms
C0400936;Patients
C4087029;Nitroglycerin/Sodium Citrate/Ethanol Solution
C0267792;Hepatitis B
C0014518;Laparoscopic Colectomy
C0015846;Fentanyl
C0001206;Growth Hormone
C1710348;colorectal Diseases
C0265126;Pathologic Neovascularization
C0003862;Arthralgia
C0302592;Applicator - device
C0278403;Mice Nude
C0027809;Benign Neoplasm
C0228194;Brain Neoplasms
C0002527;Amino Acids Sulfur
C0002525;Methionine
C0027803;Extracellular
C0002520;Sugars
C0325223;Elaphodus cephalophus
C0242488;PTK2 gene
C0002521;Malignant tumor of colon
C0003850;Community
C0267771;abdomen scan
C0424909;Family
C0301271;Apoptosis
C0267925;Stenosis of bile duct
C0915452;Chinese herbs
C0677881;Patients
C0267926;Postoperative biliary stricture
C0003805;Malignant tumor of colon
C3640077;Anastomosis of rectum
C0677886;geriatric patients
C0267922;Patients
C1721094;DNA Cleavage
C0242632;T-helper cell type 1
C0242633;TIGIT gene
C0242638;Validation
C0254610;Immune Cell
C0419073;Colonic Neoplasms
C0230653;Protein Component
C1282966;Male population group
C1521895;Patients
C1266002;Lung
C0677874;Clinical Complete Response
C0229664;CA-19-9 Antigen
C1266005;Basaloid squamous cell carcinoma
C0879290;Sebaceous Adenocarcinoma
C1328819;PFKFB3 gene
C1519544;Toll-Like Receptor Pathway
C1817201;tissue maintenance
C0242629;DDX58 protein human
C1135918;Colon structure (body structure)
C0879259;Splenomegaly
C0193114;Assay
C0230625;cell process structure
C0677861;Bilateral Malignant Neoplasm
C0677862;Partial Resection
C1293659;Very high
C0242610;Reading Frames (Nucleotide Sequence)
C1518248;Malignant neoplasm of pancreas
C1518245;Primary Carcinoma
C1520537;13q
C0278601;Mastectomy
C0419095;Secondary malignant neoplasm of bone
C0205695;Cohort
C0205698;Intussusception
C0205697;Rectum
C0205699;disorder control (procedure)
C0003818;Malignant neoplasm of gastrointestinal tract
C0229649;Mammary gland
C0677850;Early-Stage Breast Carcinoma
C4508356;TANC1 gene
C0003811;Cardiac Arrhythmia
C1229075;Intestinal Microbiome
C1568520;anlotinib
C1868801;Appendiceal mucinous neoplasm
C0242606;Mice Nude
C0242608;FILIP1L gene
C1518271;Malignant neoplasm of gastrointestinal tract
C0194422;Removal of bladder catheter
C0156149;Emergency procedure
C0265308;Rattus norvegicus
C4318939;Nasal Swab (procedure)
C3256797;tumor growth
C1422084;CYP1B1 protein human
C0132172;diacetyldichlorofluorescein
C0156147;Cohort
C1519595;Nucleotides
C2111394;Patients
C0203057;Obstruction
C0194412;Prostatectomy
C2111393;Patients
C0240016;Patients
C1266043;Carcinoma
C3280437;Neoplasms
C1422091;CUL7 gene
C1721048;Non-infective diarrhea
C0229671;Aspartate
C0230664;bile acid metabolism
C0194401;Mean score
C0870883;Organic Cation Transporter
C0675239;Thyroid carcinoma
C0241311;chlorodihydroxypyridine/potassium oxonate/tegafur
C0267941;Malignant Neoplasms
C0242656;Persons
C3640014;Patients
C0253307;Enzymes
C0051959;Agent
C0664589;Pharmaceutical Preparations
C3266123;Melanosis coli
C1266024;Flat adenoma
C1266025;Persons
C0677898;Persons
C0242643;P-Glycoprotein
C0242647;Lymphoma
C0156156;Patients
C1518275;Low Grade Malignant Neoplasm
C1266090;Sigmoid colon
C1436698;BAMBI protein human
C1880510;Hereditary Leiomyomatosis and Renal Cell Cancer
C0544702;Papilla
C0301521;Tumor cells uncertain whether benign or malignant
C1134659;Angiogenesis Inhibitors
C1422040;Reperfusion Injury
C0182400;Participant
C1879526;Colonic epithelium
C0456086;Patients
C1135993;Wasting Disease Chronic
C0062638;EIF4EBP1 protein human
C3280470;Colonic epithelium
C2699348;Clinical Study Reports and Related Information
C0302837;Chronic disease
C1266074;Intraductal papillary-mucinous carcinoma invasive
C2457024;CT of abdomen
C4511939;Crohn Disease
C0073302;WTAP gene
C0050668;activin A
C1855575;Intussusception
C1422064;DNA Repair
C3749582;Vestigium
C4255259;Total mesorectal excision
C4053869;Viral Breakthrough
C0063984;CXCR4 gene
C0059003;necroptotic process
C1422073;Severe Acute Respiratory Syndrome
C1422070;Immune
C0456070;Growth delay
C1855585;Patients
C0205643;lymph nodes
C0205642;Neoplasms
C0205645;Surgical margins
C2698046;Azadirachta indica flower extract
C0543419;Pelvic Neoplasms
C0543414;Colorectal Carcinoma
C1519516;MRC1 wt Allele
C1422002;Has difficulty doing (qualifier value)
C0073328;colon growth
C1424662;Cancer-Associated Fibroblasts
C0059020;Cell Proliferation
C0857836;Colorectal Carcinoma
C0037179;Tumor cells malignant
C0230613;Zonula Adherens
C1842211;Diverticulitis
C1412697;Mutation
C4511908;Carcinogenesis
C0302821;Colon structure (body structure)
C3665346;Disease
C0398480;Enthesitis-Related Arthritis
C0037167;Clone Cells
C0038495;Students Medical
C0203005;Liver diseases
C0061355;Hormones
C0013194;Cohort
C1881824;Polymerase Chain Reaction
C0544726;Patients
C0038492;student
C1881821;Patients
C0399785;Adenoma Villous
C0073343;Colorectal Carcinoma
C1134631;Participant
C0243902;tumor growth
C0205653;Polyp of large intestine
C1881814;First line treatment
C0085313;Pharmacotherapy
C0796419;Laboratory Procedures
C3666697;polyphenols
C1134640;Male population group
C0085319;Cryptosporidium parvum
C0544711;Detection
C0025186;Mitosis
C0870811;Life Style
C1435338;Mutation
C0870810;Crohn Disease
C1519524;TFF1 protein human
C1519522;Tissue Microarray
C1422035;Non-Small Cell Lung Carcinoma
C1519523;Tissue Model
C1519521;Detection
C0870816;Ethnic group
C0038476;Malignant Neoplasms
C1425959;Cell Proliferation
C0038478;Struma Ovarii
C0399805;Carcinoma Transitional Cell
C0134835;P-Selectin
C0337561;Granddaughter
C0001187;Abnormality of mitochondrial metabolism
C0025153;Cytopathic effect
C1412647;Hypersensitivity
C0001186;Acridines
C0001185;Acridine Orange
C0554118;Patients
C0086661;Ubiquitination
C0312255;Proteobacteria
C0337576;Aunt
C0037135;Phosphotransferases
C0963088;Intestines
C0013182;Pharmacotherapy
C1412653;ATP5B gene
C0567439;Disease
C0001175;Sexually Transmitted Diseases
C0544771;Ulcer solitary
C0072027;Colorectal Carcinoma
C0026492;Gastrointestinal Diseases
C0038454;general population
C0014485;procyanidin
C0037125;complex (molecular entity)
C0544769;Patients
C0027796;Pharmaceutical Preparations
C0423909;Memory Long-Term
C0027793;Synaptic Transmission
C0530129;Adaptive Immunity
C0060060;Pharmaceutical Preparations
C0084035;ferrostatin-1
C0086692;Liver Failure Acute
C0856619;Sexual function
C0038441;Stress Disorders Traumatic
C0085355;Human Platelet Antigens
C1326292;Pyroptosis
C0013162;Antimalarials
C0544757;Myxoglobulosis
C1708109;Intestines Small
C0073374;rifaximin
C0520798;Hepatic schistosomiasis
C0026473;PFKFB3 gene
C1425984;Catenins
C1425980;EXOSC6 gene
C1424651;Apolipoproteins B
C0038432;diabetic
C0014467;eosinophil
C0085387;Diclofenac
C0278582;Brachytherapy
C0038435;Patients
C0278584;Biopsy
C0278583;Cell of Claudius
C0025118;Medicine
C0398518;Neoplasm Metastasis
C0026447;Monkeys
C1413938;DCX gene
C1413939;Calcibiotic Root Canal Sealer
C0002475;Carcinoma of anal canal
C0013138;Drosophila <fruit fly genus>
C0278589;Chemoradiotherapy
C1567292;Myeloid-Derived Suppressor Cells
C1425928;Chronic Obstructive Airway Disease
C0038425;Escherichia coli
C0314875;Probiotics
C1842176;Inflammatory Bowel Diseases
